tweets,polarity
. @BigSwede66 @theandrewks https://t.co/JX7Dn3KfeY,positive
"we still built a pretty awesome bot, and it was fun to make a thing with my homie :) https://t.co/xWvocQaZ8X",positive
"i was convinced by @AsicFox to build a thing today, lets see how this goes",positive
@AsicFox i hate you and love you at the same time,negative
grimes was playing at work today and i was hard cheesin,negative
why do mexicans love chucky?,negative
takin pics #ifuxwitdavishun https://t.co/GgZ3lKnozk,positive
@a_bee_irl @xxbnjmn @Four_Pins we is the visioj boiii,positive
*20 https://t.co/1fMMfGIvLC,positive
@FatKidDeals @RachaelRodgers5,negative
i look so dumb but idgaf @ Grand Central Terminal https://t.co/JvKJcBgGhO,positive
"on my way to camp for shoes at @abathingapeus @ New York, New York https://t.co/0zp3Eoy1ng",positive
me irl https://t.co/U8STVM6aR5,negative
"@wondroushippo back to back wins vs the spurs and the cavs, i think its yogi ferrell, he was doing great",positive
got to watch the mavs beat lebron im not even mad @ American Airlines Center https://t.co/bY2kiUXDak,negative
"""u can make ur brain really hard with the suduku""
- @ActionBronson",positive
dubya is such a qt https://t.co/vbftf4I1gz,positive
yall shoutout to the beautiful @BigSwede66,positive
"excited to put together my new website, this is my first time doing actual design work",positive
i just wanna give a quick shoutout to @Arbys for absolutely no reason at all ✌️,negative
"@AsicFox no, wouldn't want them to think im kissing ass",negative
"@AsicFox no, but i did include 3 headshots and i glued some weed to it",negative
@AsicFox slid my resume under the door for mr. spiegel,negative
"one good thing that came of this: i thought working there would be dumb, but the area is beautiful, so i'm def gonna apply",negative
"me: ""ah ok, so thats a 'technical yes', thanks y'all""
*guys burst out laughing*
guys: ""have a good day, merry christmas""",positive
"me: ""hello, is this snapchat?""
one guy: ""we're a tech company""
*other guys laugh*
me: ""is that a yes?""
guy: ""we're a tech company""",positive
i ask some guys outside wearing matching jackets and earpieces with badges that are blank except for their names and pictures,negative
"managed to find snapchat hq, no visible markings but it was on google maps",negative
"venice beach world headquarters of snapchat the bane of my existence 🌊📸🌞 @ Venice Beach, California https://t.co/kh08LkT5ne",negative
"just passed hoover dam. nice to look at, wish i'd seen it though.",negative
@CeciliaEsq8 @ayeraybae wait i misread the whole thing nevermind,negative
she's ignoring us @ayeraybae https://t.co/SMUhi7afp7,positive
@AsicFox literally no difference,negative
@TheWilsonWilson @kaitlinwetz heres a good luck shiba https://t.co/hLUgb8cGDN,positive
i'm not ready to bring down 20 other people with me just yet,negative
"i was ready to kill myself because #finals, but then i remembered all the suicide pacts i'm a part of",negative
"managed a rebase in our networks simulation, we professionalboys now fam",negative
@RobyOrToby skrrrrrtt,negative
"one of my friends is playing a set at Euphoria in austin, how cool is that?",positive
not sure how i feel about gucci's verse on black beatles,negative
@ayeraybae it hurts me how true this is,negative
putting up my hammock in my patio was an awesome idea,positive
crazy to think that someone took a sandwich out of ye's fridge,negative
"sleep is impossible with vyvanse, but an attempt was made",negative
busy busy day today,negative
watchin a documentary about a dude pickin mushrooms life is time,negative
gore https://t.co/PJAbHo1hiY,positive
im dying https://t.co/3lVCKxUOKl,negative
reggae music makes me want to eat pasta out of a vase,negative
@RachaelRodgers5 no hell no,negative
so excited that i now live in an apartment and i can give candies to small children on the holiday of tomorrow,negative
"Bought Kanye GA tickets, I want to think that there's a second leg of shows so i could make up for missing it last time",negative
Hey go follow @cakeslap he's a cool guy,positive
@Guwopstavo tfw I tell people I write jsx and not HTML https://t.co/Uxg6BlHIAm,negative
@Guwopstavo tfw I'm telling people I know how to website https://t.co/rPyl9LLlRE,negative
... uh https://t.co/hFDezROir1,negative
I'm gonna listen to every Kanye album today in order,negative
"Oscar: ""I love the pho, they even give you a kit that goes with it""
Luke: ""a 'pho kit'?""",negative
This weather is amazing,negative
@a_bee_irl dude same thooooo,negative
New Bon Iver is Yeezus II,positive
Holy shit this is the first time I cry to a Kanye song,negative
"Never was much of a romantic
I could never take the intimacy
And I know I did damage
Cause the look in your eyes is killing me",negative
"Fingers crossed for a good nights sleep, hope this melatonin fucks me up",negative
@cakeslap @tylerthecreator hey we trying to I want you here cmon gotta get the mclaren,positive
Do you guys think that @QuavoStuntin can swim?,positive
"8/10, would probs do again in like a month or two",negative
"Tapped out, 4 rounds",negative
"Potato skins better than expected, Sriracha wings were reported as choice 👌",negative
"Starting to feel it holy shit, just ordered potato skins, Logan getting Sriracha wings ROUND 4",negative
My favorite part of this experience so far is that my cousins in the kitchen are playing Mexican music,positive
"Can confirm, mozzarella are not bad. Logan confirms potstickers “on point.”",negative
I ordered the mozzarella socks and Logan got the potstickers this time ROUND 3,negative
"Potstickers were good, mozzarella sticks were apparently ok 👍",negative
"Round 2: I'm getting potstickers, Logan is getting mozzarella sticks",negative
Round 1: we both got the boneless chicken wings buffalo flavor,negative
Gonna start live tweeting my experience with unlimited appetizers at TGI Fridays with my roommate,positive
🍾🍾🍾🔥🔥🔥💯💸 PANDA https://t.co/HgGMvcvbx0,positive
taking a shit @ a coffee shop fwm,positive
@BMX109 happy birthday,positive
New Bon Iver is good. But he's naming his songs like I name mine.,negative
"Hiatus, all good again",positive
Fuck I'm liking my surface book better than my Mac this is not ok,negative
I wanna go cry to my PM because he likes me but I also barely speak to him so that probs wouldn't go well,negative
Setting up my new computer to work from home because I hate myself and I have to present on Monday 😰😰😰,negative
